Ticker,Direction,Operation,Leadership,Externality,Valuation
CRWV,Watch,"-1 (极重 capex(买 GPU)+巨额债务、FCF 深负;高杠杆+GPU 折旧+客户集中,脆弱)","-1 (年轻团队、规模化执行未验证;重债依赖/客户集中,信誉风险)",0 (neocloud 竞争+超大厂自建威胁;AI capex 顺风但融资/利率敏感极高),-2 (★高估值计入完美执行)
NBIS,Watch,"0 (欧洲 GPU 云(ex-Yandex),重 capex、烧钱快,有 Yandex 出售现金垫)","0 (ex-Yandex 分拆,执行/获客未验证但有资本)",0 (neocloud 竞争激烈;AI capex+融资敏感),-2 (★高预期估值)
CRWD,Watch,2 (云安全龙头、高毛利 SaaS、现金流强/净现金;回购有限、SBC 稀释),"1 (Kurtz 创始人执行强,但 2024-07 全球宕机重创信誉;适应力尚可)","1 (网络安全高增,竞争 Palo Alto/微软;IT 预算顺周期但安全刚需)","-2 (★极高 SaaS 倍数,减速则杀估值——做空是估值逻辑)"
NET,Watch,"1 (边缘/安全高增+AI 推理边缘布局,但 margin 仅 14%、现金流改善中;SBC 稀释高、可转债 strike 497)","1 (Prince 创始人产品/执行强、愿景足,但稀释偏高)",1 (边缘/安全结构性增长;成长股利率敏感),"-3 (★常年最贵 SaaS 之一,估值风险大——做空核心)"
PANW,Watch,2 (安全平台化龙头、留存高、现金流强;回购+SBC),3 (Nikesh Arora 平台化执行卓越、信誉强),1 (安全整合领导者;安全刚需/IT 预算),-1 (★高倍数(优于部分 SaaS)——做空偏估值)
ABNB,Watch,2 (全球短租龙头、高毛利、净现金/轻资产、强 FCF+大额回购),2 (Chesky 创始人、品牌/产品强、执行稳、高 alignment),"0 (短租竞争+监管风险;旅游高度顺周期,对消费/衰退敏感)","0 (★成熟成长,估值中性偏高)"
NOW,Watch,3 (企业工作流 SaaS 龙头、留存 98%、usage 订阅;回购>SBC),3 (McDermott 执行强、信誉高),1 (企业 SaaS 龙头;利率敏感、IT 预算顺周期),"0 (前瞻 PE 约 30-40,估值偏高)"
COIN,Watch,"1 (加密交易所龙头,收入随周期大起大落、订阅/USDC 多元化;现金厚但盈利波动极大)",2 (Armstrong 创始人;监管博弈/游说(政府关系)老练;高 alignment),1 (交易所竞争+费率压缩但合规龙头;极度受加密/风险偏好/利率驱动),0 (★估值随加密情绪剧烈波动、高度周期)
SNOW,Watch,3 (云数仓高增、消费模式、净留存高、FCF 转正;SBC 稀释高、回购启动),"1 (Slootman→Ramaswamy 换帅,新 CEO(ex-Google AI)可信;增速放缓)",1 (数据平台竞争激烈(Databricks/云厂);云支出顺周期),"-1 (★极高倍数,增速放缓下估值风险——做空核心)"
INTC,Watch,"-1 (CPU 份额被 AMD 蚕食+Gaudi 落后;巨额 fab capex 致 FCF 负、债务升、股息已削,拿 CHIPS 补贴)",-2 (管理层动荡+信誉受损(屡次下调指引/路线图落后)、turnaround 未验证;政府关系(CHIPS)是正面),1 (竞争位弱(代工落后 TSMC、CPU/AI 落后 AMD/NVDA);政府注资/大客户/分拆催化),"1 (盈利低迷 P/E 失真,但 P/B、分部估值偏便宜)"
SPCX,Watch,"1 (⚠身份/基本面待核对(~$140、期权流动性好,疑太空/题材);若太空:重 capex、披露有限)",0 (⚠身份未确认),0 (⚠商业航天高增但资本密集;题材成长对利率/风险偏好极敏感),3 (★⚠若题材高估值:已计入完美执行——做空核心逻辑)
